"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 13 18:59:13 CEST 2020","Thu Aug 13 18:59:13 CEST 2020","44","Search post with userId invalid cases","","","","","Send the userId as boolean",""
"passed","Thu Aug 13 18:59:08 CEST 2020","Thu Aug 13 18:59:08 CEST 2020","16","Email RegEx Check One By One","","","","","Assert the email:Merle.Schultz@marcel.org matches the regex",""
"passed","Thu Aug 13 18:59:08 CEST 2020","Thu Aug 13 18:59:08 CEST 2020","17","Email RegEx Check One By One","","","","","Assert the email:Autumn.Lebsack@kasandra.ca matches the regex",""
"passed","Thu Aug 13 18:59:13 CEST 2020","Thu Aug 13 18:59:13 CEST 2020","45","Search post with userId invalid cases","","","","","Send the userId as string",""
"passed","Thu Aug 13 18:59:15 CEST 2020","Thu Aug 13 18:59:15 CEST 2020","79","Search user with username invalid cases","","","","","Send the user empty in url",""
"passed","Thu Aug 13 18:59:11 CEST 2020","Thu Aug 13 18:59:11 CEST 2020","46","Search comment with postId invalid cases","","","","","Send the postId as string",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","25","Email RegEx Check One By One","","","","","Assert the email:Julien_OHara@vance.io matches the regex",""
"passed","Thu Aug 13 18:59:08 CEST 2020","Thu Aug 13 18:59:08 CEST 2020","16","Email RegEx Check One By One","","","","","Assert the email:Domenick_Douglas@gabe.us matches the regex",""
"passed","Thu Aug 13 18:59:08 CEST 2020","Thu Aug 13 18:59:08 CEST 2020","6","Email RegEx Check One By One","","","","","Assert the email:Isaac@allene.net matches the regex",""
"passed","Thu Aug 13 18:59:15 CEST 2020","Thu Aug 13 18:59:15 CEST 2020","57","Search user with username invalid cases","","","","","Send a different field",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","17","Email RegEx Check One By One","","","","","Assert the email:Jedediah@mason.io matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","17","Email RegEx Check One By One","","","","","Assert the email:Salma@francis.net matches the regex",""
"passed","Thu Aug 13 18:59:08 CEST 2020","Thu Aug 13 18:59:08 CEST 2020","7","Email RegEx Check One By One","","","","","Assert the email:Marianna.Pacocha@george.net matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","9","Email RegEx Check One By One","","","","","Assert the email:Karina.Donnelly@liam.com matches the regex",""
"passed","Thu Aug 13 18:59:15 CEST 2020","Thu Aug 13 18:59:15 CEST 2020","49","Search user with username invalid cases","","","","","Send the user as non existing in DB",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","5","Email RegEx Check One By One","","","","","Assert the email:Micah_Wolf@lennie.co.uk matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","17","Email RegEx Check One By One","","","","","Assert the email:Tessie@emilie.co.uk matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","9","Email RegEx Check One By One","","","","","Assert the email:Joesph@darryl.net matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","19","Email RegEx Check One By One","","","","","Assert the email:May_Steuber@virgil.net matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","17","Email RegEx Check One By One","","","","","Assert the email:Shany@daisha.biz matches the regex",""
"passed","Thu Aug 13 18:59:13 CEST 2020","Thu Aug 13 18:59:13 CEST 2020","79","Search post with userId invalid cases","","","","","Send the userId empty in url",""
"passed","Thu Aug 13 18:59:08 CEST 2020","Thu Aug 13 18:59:08 CEST 2020","17","Email RegEx Check One By One","","","","","Assert the email:Destinee.Simonis@jose.tv matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","9","Email RegEx Check One By One","","","","","Assert the email:Vallie@jerrod.net matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","17","Email RegEx Check One By One","","","","","Assert the email:Adolf.Russel@clark.ca matches the regex",""
"passed","Thu Aug 13 18:59:11 CEST 2020","Thu Aug 13 18:59:11 CEST 2020","43","Search comment with postId invalid cases","","","","","Send the postId as slash in url",""
"passed","Thu Aug 13 18:59:13 CEST 2020","Thu Aug 13 18:59:13 CEST 2020","105","Search post with userId invalid cases","","","","","Send the userId as star in url",""
"passed","Thu Aug 13 18:59:15 CEST 2020","Thu Aug 13 18:59:15 CEST 2020","43","Search user with username invalid cases","","","","","Send the user as question mark in url",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","17","Email RegEx Check One By One","","","","","Assert the email:Oscar@pearline.com matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","16","Email RegEx Check One By One","","","","","Assert the email:Guillermo_Dare@dorothea.tv matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","16","Email RegEx Check One By One","","","","","Assert the email:Drew_Lemke@alexis.net matches the regex",""
"passed","Thu Aug 13 18:59:15 CEST 2020","Thu Aug 13 18:59:15 CEST 2020","57","Search user with username invalid cases","","","","","Send the user as boolean",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","8","Email RegEx Check One By One","","","","","Assert the email:Clifton_Boehm@jacynthe.io matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","9","Email RegEx Check One By One","","","","","Assert the email:Jonathon_Feest@maxime.io matches the regex",""
"passed","Thu Aug 13 18:59:11 CEST 2020","Thu Aug 13 18:59:11 CEST 2020","95","Search comment with postId invalid cases","","","","","Send the postId empty in url",""
"passed","Thu Aug 13 18:59:13 CEST 2020","Thu Aug 13 18:59:13 CEST 2020","60","Search post with userId invalid cases","","","","","Send a different field",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","14","Email RegEx Check One By One","","","","","Assert the email:Adolph.Hayes@isobel.biz matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","18","Email RegEx Check One By One","","","","","Assert the email:Aylin@abigale.me matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","9","Email RegEx Check One By One","","","","","Assert the email:Holden@kenny.io matches the regex",""
"passed","Thu Aug 13 18:59:15 CEST 2020","Thu Aug 13 18:59:15 CEST 2020","43","Search user with username invalid cases","","","","","Send the user as integer",""
"passed","Thu Aug 13 18:59:08 CEST 2020","Thu Aug 13 18:59:08 CEST 2020","33","Email RegEx Check One By One","","","","","Assert the email:Alia@addison.org matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","18","Email RegEx Check One By One","","","","","Assert the email:Orlando_Dickinson@vern.org matches the regex",""
"passed","Thu Aug 13 18:59:11 CEST 2020","Thu Aug 13 18:59:11 CEST 2020","39","Search comment with postId invalid cases","","","","","Send the postId as boolean",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","8","Email RegEx Check One By One","","","","","Assert the email:Elian@matilda.me matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","17","Email RegEx Check One By One","","","","","Assert the email:Rick@carlos.tv matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","18","Email RegEx Check One By One","","","","","Assert the email:Selena.Quigley@johan.co.uk matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","14","Email RegEx Check One By One","","","","","Assert the email:Timmothy.Corwin@augustus.co.uk matches the regex",""
"passed","Thu Aug 13 18:59:08 CEST 2020","Thu Aug 13 18:59:08 CEST 2020","418","Email RegEx Check One By One","","","","","Collect and save email addresses",""
"passed","Thu Aug 13 18:59:08 CEST 2020","Thu Aug 13 18:59:08 CEST 2020","17","Email RegEx Check One By One","","","","","Assert the email:Alaina_Hammes@carter.info matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","15","Email RegEx Check One By One","","","","","Assert the email:Priscilla@colten.org matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","5","Email RegEx Check One By One","","","","","Assert the email:Susan.Bartell@euna.org matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","16","Email RegEx Check One By One","","","","","Assert the email:Marilou_Halvorson@kane.io matches the regex",""
"passed","Thu Aug 13 18:59:08 CEST 2020","Thu Aug 13 18:59:08 CEST 2020","8","Email RegEx Check One By One","","","","","Assert the email:Irma.OKon@arden.me matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","5","Email RegEx Check One By One","","","","","Assert the email:Dennis@karley.net matches the regex",""
"passed","Thu Aug 13 18:59:05 CEST 2020","Thu Aug 13 18:59:06 CEST 2020","1265","Email RegEx Check All Together","","","","","Get all emails in comments and assert as group",""
